GENBANK_ACCESSION	Name	Species
D50295	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L41925	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L15005	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AY007140	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M26429	major histocompatibility complex, class I, C(HLA-C)	Homo sapiens
M26430	major histocompatibility complex, class I, C(HLA-C)	Homo sapiens
BC002463	major histocompatibility complex, class I, C(HLA-C)	Homo sapiens
D12471	major histocompatibility complex, class I, C(HLA-C)	Homo sapiens
M24097	major histocompatibility complex, class I, C(HLA-C)	Homo sapiens
M28160	major histocompatibility complex, class I, C(HLA-C)	Homo sapiens
NM_002116	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens
AK301019	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens
BC003069	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens
D32129	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens
D32131	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens
DQ327720	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens
BC008611	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens
M84375	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens
BC028674	eukaryotic translation elongation factor 1 alpha 1(EEF1A1)	Homo sapiens
NM_001402	eukaryotic translation elongation factor 1 alpha 1(EEF1A1)	Homo sapiens
AY780790	protein geranylgeranyltransferase type I subunit beta(PGGT1B)	Homo sapiens
NM_005023	protein geranylgeranyltransferase type I subunit beta(PGGT1B)	Homo sapiens
NM_000239	lysozyme(LYZ)	Homo sapiens
AK130149	lysozyme(LYZ)	Homo sapiens
AY544121	alkylglycerone phosphate synthase(AGPS)	Homo sapiens
NM_003659	alkylglycerone phosphate synthase(AGPS)	Homo sapiens
BC033866	carboxypeptidase E(CPE)	Homo sapiens
NM_001873	carboxypeptidase E(CPE)	Homo sapiens
BC098396	MAX dimerization protein 1(MXD1)	Homo sapiens
NM_002357	MAX dimerization protein 1(MXD1)	Homo sapiens
AF097514	stearoyl-CoA desaturase(SCD)	Homo sapiens
NM_005063	stearoyl-CoA desaturase(SCD)	Homo sapiens
AY894564	neuroblastoma breakpoint family member 3(NBPF3)	Homo sapiens
AK095602	neuroblastoma breakpoint family member 3(NBPF3)	Homo sapiens
AK292580	neuroblastoma breakpoint family member 3(NBPF3)	Homo sapiens
NM_032264	neuroblastoma breakpoint family member 3(NBPF3)	Homo sapiens
AK299840	neuroblastoma breakpoint family member 3(NBPF3)	Homo sapiens
BC024011	neuroblastoma breakpoint family member 3(NBPF3)	Homo sapiens
AY598326	neuroblastoma breakpoint family member 3(NBPF3)	Homo sapiens
NM_079423	myosin light chain 6(MYL6)	Homo sapiens
BC017455	myosin light chain 6(MYL6)	Homo sapiens
NM_021019	myosin light chain 6(MYL6)	Homo sapiens
